league_name,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
Argentina Primera División,727,727,727,727,727,727,727,724,727,727,727,727,727,727,727,727,727,727,75,652,727,727,727,1,1,1,727,727,727,727,727,727,727,649,42,295,651,651,651,651,651,651,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,76,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,1,727
Australian Hyundai A-League,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,2,275,277,277,277,9,9,9,277,277,277,277,277,277,277,275,18,134,246,246,246,246,246,246,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,31,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,9,277
Austrian Football Bundesliga,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,15,315,330,330,330,6,6,6,330,330,330,330,330,330,330,315,26,121,290,290,290,290,290,290,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,40,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,6,330
Belgian Jupiler Pro League,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,53,435,488,488,488,10,10,10,488,488,488,488,488,488,488,435,49,270,432,432,432,432,432,432,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,56,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,10,488
Campeonato Brasileiro Série A,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,0,360,360,360,360,23,23,23,360,360,360,360,360,360,360,360,36,148,324,324,324,324,324,324,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,36,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,23,360
Chilian Campeonato Nacional,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,0,155,155,155,155,0,0,0,155,155,155,155,155,155,155,155,8,68,136,136,136,136,136,136,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,19,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,0,155
Chinese Super League,446,446,446,446,446,446,446,445,446,446,446,446,446,446,446,446,446,446,18,428,446,446,446,24,24,24,446,446,446,446,446,446,446,427,13,176,392,392,392,392,392,392,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,54,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,24,446
Colombian Liga Postobón,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,0,191,191,191,191,0,0,0,191,191,191,191,191,191,191,191,5,62,167,167,167,167,167,167,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,24,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,0,191
Croatian Prva HNL,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,0,56,56,56,56,1,1,1,56,56,56,56,56,56,56,56,3,33,49,49,49,49,49,49,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,7,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,1,56
Cypriot First Division,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,0,28,28,28,28,1,1,1,28,28,28,28,28,28,28,28,1,10,25,25,25,25,25,25,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,3,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,1,28
Czech Republic Gambrinus Liga,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,0,79,79,79,79,10,10,10,79,79,79,79,79,79,79,79,14,53,70,70,70,70,70,70,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,9,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,10,79
Danish Superliga,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,13,305,318,318,318,11,11,11,318,318,318,318,318,318,318,305,20,139,286,286,286,286,286,286,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,32,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,11,318
Ecuadorian Serie A,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,0,171,171,171,171,0,0,0,171,171,171,171,171,171,171,171,2,48,150,150,150,150,150,150,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,21,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,0,171
English League Championship,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,49,668,717,717,717,40,40,40,717,717,717,717,717,717,717,668,45,421,638,638,638,638,638,638,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,79,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,40,717
English League One,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,77,549,626,626,626,12,12,12,626,626,626,626,626,626,626,549,29,324,562,562,562,562,562,562,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,64,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,12,626
English League Two,613,613,613,613,613,613,613,611,613,613,613,613,613,613,613,613,613,613,69,544,613,613,613,3,3,3,613,613,613,613,613,613,613,542,44,291,551,551,551,551,551,551,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,62,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,3,613
English National League,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,0,27,27,27,27,0,0,0,27,27,27,27,27,27,27,27,0,11,24,24,24,24,24,24,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,3,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,0,27
English Premier League,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,20,632,652,652,652,134,134,134,652,652,652,652,652,652,652,632,118,453,584,584,584,584,584,584,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,68,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,134,652
Finnish Veikkausliiga,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,25,25,25,25,2,2,2,25,25,25,25,25,25,25,25,0,10,23,23,23,23,23,23,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2,25
French Ligue 1,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,39,538,577,577,577,25,25,25,577,577,577,577,577,577,577,538,72,344,506,506,506,506,506,506,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,71,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,25,577
French Ligue 2,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,32,497,529,529,529,0,0,0,529,529,529,529,529,529,529,497,33,202,472,472,472,472,472,472,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,57,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,0,529
German 1. Bundesliga,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,27,524,551,551,551,71,71,71,551,551,551,551,551,551,551,524,87,327,488,488,488,488,488,488,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,63,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,71,551
German 2. Bundesliga,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,40,470,510,510,510,5,5,5,510,510,510,510,510,510,510,470,54,253,454,454,454,454,454,454,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,56,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,5,510
German 3. Bundesliga,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,29,513,542,542,542,0,0,0,542,542,542,542,542,542,542,513,32,191,483,483,483,483,483,483,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,59,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,0,542
Greek Super League,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,0,112,112,112,112,12,12,12,112,112,112,112,112,112,112,112,6,65,102,102,102,102,102,102,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,10,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,12,112
Holland Eredivisie,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,45,447,492,492,492,22,22,22,492,492,492,492,492,492,492,447,40,258,425,425,425,425,425,425,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,67,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,22,492
Hungarian Nemzeti Bajnokság I,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,0,28,28,28,28,5,5,5,28,28,28,28,28,28,28,28,2,17,25,25,25,25,25,25,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,3,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,5,28
Indian Super League,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,7,272,279,279,279,0,0,0,279,279,279,279,279,279,279,272,10,98,247,247,247,247,247,247,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,32,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,0,279
Italian Serie A,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,82,481,563,563,563,68,68,68,563,563,563,563,563,563,563,481,79,359,505,505,505,505,505,505,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,58,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,68,563
Italian Serie B,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,0,132,132,132,132,3,3,3,132,132,132,132,132,132,132,132,6,55,120,120,120,120,120,120,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,12,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,3,132
Japanese J. League Division 1,589,589,589,589,589,589,589,586,589,589,589,589,589,589,589,589,589,589,21,568,589,589,589,2,2,2,589,589,589,589,589,589,589,565,40,250,512,512,512,512,512,512,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,77,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,2,589
Korean K League 1,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,5,331,336,336,336,1,1,1,336,336,336,336,336,336,336,331,22,139,301,301,301,301,301,301,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,35,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,1,336
Liga de Fútbol Profesional Boliviano,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,0,187,187,187,187,0,0,0,187,187,187,187,187,187,187,187,3,43,168,168,168,168,168,168,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,19,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,0,187
Mexican Liga MX,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,32,456,488,488,488,16,16,16,488,488,488,488,488,488,488,456,39,260,437,437,437,437,437,437,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,51,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,16,488
Norwegian Eliteserien,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,10,391,401,401,401,8,8,8,401,401,401,401,401,401,401,391,25,167,359,359,359,359,359,359,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,42,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,8,401
Paraguayan Primera División,174,174,174,174,174,174,174,173,174,174,174,174,174,174,174,174,174,174,0,174,174,174,174,0,0,0,174,174,174,174,174,174,174,173,8,61,153,153,153,153,153,153,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,21,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,0,174
Peruvian Primera División,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,0,163,163,163,163,0,0,0,163,163,163,163,163,163,163,163,1,44,142,142,142,142,142,142,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,21,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,0,163
Polish T-Mobile Ekstraklasa,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,11,485,496,496,496,3,3,3,496,496,496,496,496,496,496,485,29,222,442,442,442,442,442,442,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,54,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,3,496
Portuguese Liga ZON SAGRES,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,44,461,505,505,505,12,12,12,505,505,505,505,505,505,505,461,37,275,451,451,451,451,451,451,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,54,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,12,505
Rep. Ireland Airtricity League,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,8,250,258,258,258,0,0,0,258,258,258,258,258,258,258,250,1,103,232,232,232,232,232,232,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,26,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,0,258
Romanian Liga I,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,11,431,442,442,442,10,10,10,442,442,442,442,442,442,442,431,19,236,396,396,396,396,396,396,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,46,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,10,442
Russian Premier League,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,0,82,82,82,82,11,11,11,82,82,82,82,82,82,82,82,6,47,71,71,71,71,71,71,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,11,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,11,82
Saudi Abdul L. Jameel League,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,22,446,468,468,468,1,1,1,468,468,468,468,468,468,468,446,25,188,414,414,414,414,414,414,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,54,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,1,468
Scottish Premiership,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,26,294,320,320,320,22,22,22,320,320,320,320,320,320,320,294,27,190,285,285,285,285,285,285,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,35,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,22,320
South African Premier Division,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,0,56,56,56,56,0,0,0,56,56,56,56,56,56,56,56,0,26,48,48,48,48,48,48,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,8,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,0,56
Spain Primera Division,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,45,588,633,633,633,51,51,51,633,633,633,633,633,633,633,588,78,435,567,567,567,567,567,567,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,66,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,51,633
Spanish Segunda División,625,625,625,625,625,625,625,624,625,625,625,625,625,625,625,625,625,625,73,552,625,625,625,1,1,1,625,625,625,625,625,625,625,551,28,314,557,557,557,557,557,557,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,68,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,1,625
Swedish Allsvenskan,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,11,382,393,393,393,7,7,7,393,393,393,393,393,393,393,382,20,153,350,350,350,350,350,350,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,43,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,7,393
Swiss Super League,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,22,248,270,270,270,1,1,1,270,270,270,270,270,270,270,248,19,122,243,243,243,243,243,243,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,27,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,1,270
Turkish Süper Lig,543,543,543,543,543,543,543,542,543,543,543,543,543,543,543,543,543,543,45,498,543,543,543,18,18,18,543,543,543,543,543,543,543,497,47,330,483,483,483,483,483,483,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,60,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,18,543
UAE Arabian Gulf League,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,0,28,28,28,28,0,0,0,28,28,28,28,28,28,28,28,0,12,25,25,25,25,25,25,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,3,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,0,28
USA Major League Soccer,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,24,747,771,771,771,21,21,21,771,771,771,771,771,771,771,747,61,396,680,680,680,680,680,680,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,91,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,21,771
Ukrainian Premier League,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,0,56,56,56,56,15,15,15,56,56,56,56,56,56,56,56,3,29,50,50,50,50,50,50,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,6,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,15,56
Uruguayan Primera División,132,132,132,132,132,132,132,131,132,132,132,132,132,132,132,132,132,132,0,132,132,132,132,0,0,0,132,132,132,132,132,132,132,131,2,46,118,118,118,118,118,118,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,14,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,0,132
Venezuelan Primera División,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,0,161,161,161,161,0,0,0,161,161,161,161,161,161,161,161,0,31,143,143,143,143,143,143,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,18,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,0,161
